"country","SexRatioAllAges"
"India",106.7
"China",104.3
"United States",98.2
"Indonesia",101.4
"Pakistan",101.9
"Nigeria",102.1
"Brazil",96.6
"Bangladesh",98.4
"Russia",86.7
"Ethiopia",101
"Mexico",95.4
"Japan",94.6
"Egypt",102.3
"Philippines",103.1
"DR Congo",98.5
"Vietnam",97.6
"Iran",102.1
"Turkey",100.5
"Germany",97.4
"Thailand",94.5
"United Kingdom",97.6
"Tanzania",97.7
"France",93.6
"South Africa",94.7
"Italy",95.1
"Kenya",98.3
"Myanmar",99.1
"Colombia",97.4
"South Korea",99.8
"Sudan",99.9
"Uganda",98
"Spain",96.1
"Algeria",103.8
"Iraq",100.3
"Argentina",98
"Afghanistan",102.1
"Yemen",102.2
"Canada",98.8
"Poland",93.6
"Morocco",101.4
"Angola",97.7
"Ukraine",86.2
"Uzbekistan",100.1
"Malaysia",104.6
"Mozambique",96.3
"Ghana",99.5
"Peru",98.1
"Saudi Arabia",136.8
"Madagascar",100.5
"Ivory Coast",102
"Nepal",91.7
"Cameroon",99.5
"Venezuela",98
"Niger",102.9
"Australia",98.6
"North Korea",97.8
"Syria",100.4
"Mali",102
"Burkina Faso",99.3
"Taiwan",98.2
"Sri Lanka",93
"Malawi",94.6
"Zambia",97.4
"Kazakhstan",92.6
"Chad",100.8
"Chile",98.5
"Romania",93.6
"Somalia",100.5
"Senegal",96.7
"Guatemala",98
"Netherlands",98.8
"Ecuador",99.7
"Cambodia",98
"Zimbabwe",89.3
"Guinea",97.7
"Benin",100.3
"Rwanda",95.7
"Burundi",98.6
"Bolivia",100.6
"Tunisia",97.6
"South Sudan",98
"Haiti",98.2
"Belgium",97.6
"Jordan",107.7
"Dominican Republic",100.8
"United Arab Emirates",228.2
"Cuba",98.6
"Honduras",102
"Czech Republic",97
"Sweden",101.5
"Tajikistan",101.3
"Papua New Guinea",106.8
"Portugal",89.3
"Azerbaijan",97.4
"Greece",96
"Hungary",92.1
"Togo",101.1
"Israel",99.4
"Austria",96.9
"Belarus",85.5
"Switzerland",98.6
"Sierra Leone",100.4
"Laos",101.6
"Turkmenistan",98.2
"Hong Kong",85.6
"Libya",102.5
"Kyrgyzstan",96.5
"Paraguay",100.8
"Nicaragua",97.1
"Bulgaria",94.2
"Serbia",92
"El Salvador",90.9
"Denmark",99
"Singapore",109.7
"Lebanon",94.2
"Finland",97.6
"Liberia",99.1
"Norway",101.8
"Slovakia",95.4
"Palestine",99.5
"Central African Republic",100
"Oman",157
"Ireland",98.2
"New Zealand",98.3
"Mauritania",96
"Costa Rica",100.1
"Kuwait",156.1
"Panama",100.1
"Croatia",94.9
"Georgia",88.7
"Eritrea",97.3
"Mongolia",98.5
"Uruguay",93.9
"Puerto Rico",89.5
"Bosnia and Herzegovina",97
"Qatar",266
"Moldova",90.4
"Namibia",93.3
"Armenia",81.9
"Lithuania",88.4
"Jamaica",98.5
"Albania",99.8
"Gambia",99
"Gabon",103.8
"Botswana",97.5
"Lesotho",97.4
"Guinea-Bissau",97.5
"Slovenia",101
"Equatorial Guinea",112
"Latvia",86.3
"North Macedonia",99.4
"Bahrain",163.8
"Trinidad and Tobago",97.4
"Timor-Leste",104.1
"Estonia",90.2
"Cyprus",100.3
"Mauritius",97.4
"Eswatini",98.6
"Djibouti",98.6
"Fiji",100.6
"Reunion",93.2
"Comoros",100.9
"Guyana",95.8
"Solomon Islands",104.5
"Bhutan",112.5
"Macau",88.5
"Luxembourg",101.3
"Montenegro",95
"Suriname",99.3
"Malta",108.4
"Maldives",136.3
"Cape Verde",98.9
"Brunei",107.2
"Belize",101.2
"Bahamas",91.6
"Iceland",105.2
"Guadeloupe",82.7
"Martinique",85.4
"Vanuatu",101.2
"Mayotte",89.9
"French Guiana",98.8
"New Caledonia",99.1
"Barbados",92.1
"French Polynesia",102.3
"Sao Tome and Principe",99.6
"Samoa",104
"Curacao",92
"Saint Lucia",98
"Guam",101.4
"Kiribati",94.8
"Seychelles",111.4
"Grenada",100.2
"Micronesia",101.2
"Aruba",89.1
"Tonga",97.9
"Jersey",97.4
"Saint Vincent and the Grenadines",104.1
"Antigua and Barbuda",91.4
"United States Virgin Islands",87.8
"Isle of Man",98.1
"Andorra",104.4
"Cayman Islands",102
"Dominica",99.1
"Bermuda",93.2
"Guernsey",98.9
"Greenland",111
"Faroe Islands",107.3
"Saint Kitts and Nevis",93.6
"American Samoa",98
"Turks and Caicos Islands",101.5
"Sint Maarten",115.2
"Liechtenstein",98.3
"British Virgin Islands",92.7
"Gibraltar",99.8
"Monaco",96.1
"Marshall Islands",104.4
"San Marino",94.8
"Saint Martin",90.6
"Palau",108.5
"Anguilla",96
"Cook Islands",91.2
"Nauru",103.4
"Saint Barthelemy",110.7
"Tuvalu",105.6
"Saint Pierre and Miquelon",99
"Montserrat",111.8
"Falkland Islands",100.7
"Tokelau",99.8
"Niue",88.8